projectname,clientname,projectscope,yr_closed,newdistcode,cleanschool,newschoolid,CPI_estamount,CPI_contamount,CPI_changeamt,CPI_closedamount,calculated_cost,yr_op1,genenrollment,distkids,CPI_perstu,CPIdist_kid,ctwhite,ctblack,cthispanic,ctReduced_lunch,distctwhite,distctblack,distcthispanic,distctReduced_lunch,maybecanceled,edu_building,career_tech,community1,community2,gen_facilities,admin,new,modern,career_techspending,edu_buildingspending,community1spending,community2spending,gen_facilitiesspending,adminspending,career_techstudent,edu_buildingstudent,community1student,community2student,gen_facilitiesstudent,adminstudent
OAKLAND TECHNICAL HIGH SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,RELOCATION OF 1-CLASSROOM BUILDINGS (01-104578 & 01-103508),7,628050,OAKLAND TECHNICAL HIGH,62805004305,61570.75,418958.6,,0,418958.6,2004,1734,49214,241.614,8.512997,94,1050,188,698,2916,21344,16989,32530,0,1,0,0,0,0,0,0,0,,241.614,,,,,,241.614,,,,
TOLER ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-1 - RELOCATABLE TOILET BLDG/S(PC04-101447); 4 - PORTABLE RAMPS (PC04-101933)4 - RELOCATABLE C.R. BLDG/S (SITE CERT A#9148,10106,65547)",7,634320,TOLER ELEMENTARY,63432005560,2533352,3668648,277610.8,0,3946259,2002,339,140753,11640.88,28.03677,141,15,159,197,37601,22065,56205,86939,0,1,0,0,0,1,0,0,0,,11640.88,,,11640.88,,,11640.88,,,11640.88,
CAMELLIA AVENUE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-LUNCH SHELTER., ALTERATIONS TO 1-MULTI-PURPOSE BUILDING (A-12341)",14,622710,CAMELLIA AVENUE ELEMENTARY,62271002887,234134.5,401540.7,113888.9,523624.4,523624.4,2006,1148,703722,456.1188,0.7440785,14,17,1188,1117,64272,82884,532152,558949,0,0,0,1,0,1,0,0,0,,,456.1188,,456.1188,,,,456.1188,,456.1188,
VARIOUS SITES (SAN JUAN UNIFIED SD),SAN JUAN UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-3 C.R. BLDG/S @ BARRETT M.S., 4 CR BLDGS @ CHURCHILL M.S., 4 CR BLDGS @ ROGERS M.S.",8,634620,VARIOUS SITES (SAN JUAN UNIFIED SD),999999,1067079,1861431,59912.09,0,1921343,2005,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,
WASHINGTON PREPARATORY HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-SECURITY FAENCE @ LUNCH SHELTER,15,622710,WASHINGTON PREPARATORY HIGH,62271003203,120585.1,128641.7,59814.32,0,188456,2004,349,741367,539.9886,0.2542007,112,31,174,130,68132,88271,541514,558973,0,1,0,0,0,1,0,0,0,,539.9886,,,539.9886,,,539.9886,,,539.9886,
OSCEOLA ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-MULTI-PURPOSE BUILDING.,11,622710,OSCEOLA ELEMENTARY,62271003254,273211.9,86025.61,,0,86025.61,2007,373,685249,230.6317,0.1255392,15,12,372,331,61671,77938,514197,518046,0,0,0,1,0,0,0,0,0,,,230.6317,,,,,,230.6317,,,
CLAIREMONT HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO AUDITORIUM BUILDING (CHAIR LIFT)  A-15890,3,634320,CLAIREMONT HIGH,63432005434,28372.82,50225.3,3200.725,0,53426.03,2000,1259,141804,42.43529,0.3767597,576,67,528,665,38723,23300,52361,88089,0,0,0,0,1,0,0,0,0,,,,42.43529,,,,,,42.43529,,
CADMAN ELEMENTARY   CADMAN PADRES FIELD  ( SEE APPLACE NOTES BOX ),SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-PRESSBOX,2,634320,CADMAN ELEMENTARY,63432005428,14256.92,0,,0,14256.92,1999,305,140743,46.74399,0.1012975,,13,118,,0,23187,50053,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
CORONA AVENUE ELEMETARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO AUDITORIUM BLDG W/MODIFICATIONS TO A/C UNIT.,5,622710,CORONA AVENUE ELEMETARY,62271002938,101147.9,0,,0,101147.9,2001,1927,735058,52.48983,0.1376053,51,8,1915,1842,71178,92096,510367,530100,0,0,0,0,1,0,0,0,0,,,,52.48983,,,,,,52.48983,,
CLEVELAND SENIOR HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),14,622710,CLEVELAND SENIOR HIGH,62271002923,0,3446073,384190.7,3830264,3830264,2005,4019,727319,953.0389,5.266277,678,303,2147,2504,66438,86362,539906,556015,0,0,1,0,0,1,0,0,0,953.0389,,,,953.0389,,953.0389,,,,953.0389,
CHATSWORTH & STONEY POINT HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMP-FIRE ALARM UPGRADE,12,622710,CHATSWORTH & STONEY POINT HIGH,62271002916,0,1811630,307680.1,2119311,2119311,2008,3223,684143,657.5583,3.097759,710,316,1570,1503,59978,74519,504866,469364,0,0,0,0,0,1,0,0,0,,,,,657.5583,,,,,,657.5583,
BYRD MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-STEEL RAMP (PC-04-104775), RELOCATION OF 1-4 RELOCATABLE CLSRM BLDGS FROM STOCKPILE A#02-100537",13,622710,BYRD MIDDLE,62271002878,0,236594.9,,0,236594.9,2006,1824,703722,129.7121,0.336205,82,24,1671,1524,64272,82884,532152,558949,0,1,0,0,0,1,0,0,0,,129.7121,,,129.7121,,,129.7121,,,129.7121,
HERBERT HOOVER HIGH SCHOOL   ACADEMY OF INFORMATION TECHNOLOGY  TOILET UPGRADES,SAN DIEGO UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 2-BLDGS. 400 (A04-108889) & 900 (A04-103762)- RESTROOM UPGRADE,14,634320,HERBERT HOOVER HIGH,63432005482,0,319813.2,43361.29,363174.5,363174.5,2011,2021,130719,179.7004,2.778284,47,232,1473,2003,31270,14791,60052,86232,0,0,0,0,0,1,0,0,0,,,,,179.7004,,,,,,179.7004,
SOUTH REGION SENIOR HIGH SCHOOL #4,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-ADMIN/LIBRARY/C.R. BLDG./PARKING; M/P BLDG., GYM/KITCHEN BLDG.,MAINTENANCE BLDG. & STADIUM BLDG.",14,622710,SOUTH REGION SENIOR HIGH,62271012124,0,1.31E+08,6491558,0,1.37E+08,2006,0,703722,,195.2429,0,0,0,0,64272,82884,532152,558949,0,1,0,1,1,1,1,0,0,,,,,,,,,,,,
LOS ANGELES ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-C.R. BLDG (RELOCATION); 2 C.R. BLDG/S, C.R./ADMIN BLDG (TOILET UPGRADE)",5,622710,LOS ANGELES ELEMENTARY,62271002143,81628.49,0,,0,81628.49,2000,1184,721346,68.94299,0.1131614,4,43,1114,1104,72404,93532,496505,520214,0,1,0,0,0,1,1,0,0,,68.94299,,,68.94299,68.94299,,68.94299,,,68.94299,68.94299
CENTRAL LA NEW NEW HIGH SCHOOL #1 (HELEN BERNSTEIN HS),LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-NEW ELECTRONIC SCOREBOARD, 1-NEW ELECTRONIC MARQUEE",13,622710,CENTRAL LA NEW NEW HIGH,62271010829,0,278604.6,,0,278604.6,2010,345,667090,807.5496,0.4176417,147,9,118,174,58984,68122,491937,510789,0,1,0,0,1,1,0,1,0,,807.5496,,807.5496,807.5496,,,807.5496,,807.5496,807.5496,
MORSE HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ONE  ELECTRONIC MESSAGE CENTER SIGN,99,634320,MORSE HIGH,63432005526,44223.28,0,,0,44223.28,1999,2969,140743,14.89501,0.314213,,670,482,,0,23187,50053,0,0,1,0,0,0,1,0,0,0,,14.89501,,,14.89501,,,14.89501,,,14.89501,
MADISON HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-(1) LED (LIGHT EMITTING DIODE) MARQUE,8,634320,MADISON HIGH,63432005509,53664.63,53664.63,,0,53664.63,2005,1396,132482,38.44171,0.4050711,445,205,655,952,34789,19116,57416,72029,0,0,0,0,0,1,0,0,0,,,,,38.44171,,,,,,38.44171,
STARR KING MIDDLE (SAN JUAN USD),SAN JUAN UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO STAR KING MIDDLE SCHOOL (FIRE ALARM UPGRADE),5,634620,STARR KING MIDDLE,63462009627,86039.49,63326.39,12757.67,0,76084.06,2001,496,51383,153.3953,1.480724,377,39,51,151,37762,3225,5195,14488,0,0,0,0,0,1,0,0,0,,,,,153.3953,,,,,,153.3953,
HAWTHORNE ELEMENTARY SCHOOL - PORTABLES,OAKLAND UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-11- 24X40 RELOCATABLE CLASSROOM AND CLINIC BUILDINGS AND 1- 12X40 RESTROOM BUILDING, RELOCATION OF 1-3 RELOCATABLE CLASSROOM BUILDINGS FROM WOODLAND ELEM. SCHOOL",8,628050,HAWTHORNE ELEMENTARY,62805004272,424542.6,896270.1,272678.9,0,1168949,2005,123,48135,9503.65,24.2848,20,63,709,589,2953,20267,16904,31236,0,1,0,0,0,1,0,0,0,,9503.65,,,9503.65,,,9503.65,,,9503.65,
GREER ELEMENTARY SCHOOL,SAN JUAN UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO HVAC SYSTEM,0,634620,GREER ELEMENTARY,63462005783,664372.3,695710.5,3567.081,0,699277.6,1999,425,48052,1645.359,14.55252,,129,106,,0,2980,4392,0,0,1,0,0,0,1,0,0,0,,1645.359,,,1645.359,,,1645.359,,,1645.359,
ASCEND SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,RELOCATION OF 1-4 RELCATABLE C.R. BLDGS. FROM STOCKPILE,15,628050,ASCEND,62805008677,254979.2,0,,0,254979.2,2004,264,49214,965.8303,5.18103,1,46,161,220,2916,21344,16989,32530,0,1,0,0,0,1,0,0,0,,965.8303,,,965.8303,,,965.8303,,,965.8303,
HADDON AVENUE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-2 C.R. BLDG/S, C.R. /ADMIN. BLDG, ASSAMBLY/CAFETERIA BLDG",15,622710,HADDON AVENUE ELEMENTARY,62271003061,3783483,4121702,1703299,5825001,5825001,2005,1062,727319,5484.935,8.008867,4,2,1132,1011,66438,86362,539906,556015,0,1,0,1,0,0,1,0,0,,5484.935,5484.935,,,5484.935,,5484.935,5484.935,,,5484.935
ANNALEE AVENUE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-RAMP,10,622710,ANNALEE AVENUE ELEMENTARY,62271002818,0,137900.6,,0,137900.6,2005,454,727319,303.7457,0.1896012,7,424,28,338,66438,86362,539906,556015,0,0,0,0,0,1,0,0,0,,,,,303.7457,,,,,,303.7457,
CANOGA PARK HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-GYMNASIUM BUILDING,14,622710,CANOGA PARK HIGH,62271002890,0,759520.6,92351.21,851871.8,851871.8,2011,1731,659132,492.127,1.292415,127,89,1474,1311,58880,65424,484516,411617,0,0,0,0,1,0,0,0,0,,,,492.127,,,,,,492.127,,
HAMASAKI ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-C.R. BLDG (RELOCATABLE)(STOCKPILE A 02 100771);, ALTERATIONS TO 1-ADMIN/C.R. BLDG (A 860)",5,622710,HAMASAKI ELEMENTARY,62271003306,101331.5,0,,0,101331.5,2000,545,721346,185.9294,0.1404756,2,23,539,562,72404,93532,496505,520214,0,1,0,0,0,1,1,0,0,,185.9294,,,185.9294,185.9294,,185.9294,,,185.9294,185.9294
GARDEN GROVE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-AUDITORIUM HVAC,15,622710,GARDEN GROVE ELEMENTARY,62271007119,0,383545.3,31986.49,415531.8,415531.8,2011,430,659132,966.353,0.6304227,31,8,350,369,58880,65424,484516,411617,0,0,0,0,1,1,0,0,0,,,,966.353,966.353,,,,,966.353,966.353,
LOMA PORTAL ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-1 - LIBRARY BLDG (ALTERATIONS TO EXISTING LIBRARY BUILDING HVAC SYSTEMS),12,634320,LOMA PORTAL ELEMENTARY,63432005504,120357.6,49486.15,-6731.619,0,42754.53,2008,371,131890,115.2413,0.3241681,205,17,113,128,33159,17712,58207,81418,0,1,0,1,0,1,0,0,0,,115.2413,115.2413,,115.2413,,,115.2413,115.2413,,115.2413,
HUNTINGTON PARK ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-SHADE STRUCTURE (PC-02-109528),14,622710,HUNTINGTON PARK ELEMENTARY,62271011647,0,53070.23,,53070.23,53070.23,2011,548,659132,96.84348,0.0805153,4,1,539,230,58880,65424,484516,411617,0,0,0,0,0,1,0,0,0,,,,,96.84348,,,,,,96.84348,
NESTLE AVENUE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ADMIN.BLDG.(A#8431),11,622710,NESTLE AVENUE ELEMENTARY,62271003210,125519.4,159751.9,111864.4,0,271616.4,2007,513,685249,529.4666,0.3963762,378,30,56,203,61671,77938,514197,518046,0,0,0,0,0,0,1,0,0,,,,,,529.4666,,,,,,529.4666
CATSKILL AVENUE ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-LUNCH SHELTER,14,622710,CATSKILL AVENUE ELEMENTARY,62271002906,153314.2,275942.6,,275942.6,275942.6,2003,883,747009,312.5057,0.3693966,33,89,633,785,70031,90541,537136,555117,0,0,0,0,0,1,0,0,0,,,,,312.5057,,,,,,312.5057,
WINDSOR HILLS MATH SCIENCEAERO MAGNET,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ACCESSIBLE RAMPS,8,622710,WINDSOR HILLS MATH SCIENCEAERO MAGNET,62271007770,129411.6,181013.8,40525.81,0,221539.6,1998,742,695885,298.5709,0.3183566,,750,28,,0,93867,466259,0,0,0,0,0,0,1,0,0,0,,,,,298.5709,,,,,,298.5709,
GRIFFITH MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO ENTIRE SCHO0L  (HVAC),2,622710,GRIFFITH MIDDLE,62271003058,1048069,551978,69368.48,0,621346.5,1998,2023,695885,307.1411,0.8928868,,8,1908,,0,93867,466259,0,0,0,0,0,0,1,0,0,0,,,,,307.1411,,,,,,307.1411,
JERABEK ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-RECONSTRUCTION OF: COVERED WALKWAY, REPLACEMENT OF CRACKED WOOD BEAM",7,634320,JERABEK ELEMENTARY,63432005486,93235.72,58298.96,,0,58298.96,2001,940,141599,62.02017,0.4117187,762,14,85,58,38291,22906,54613,65684,0,1,0,0,0,1,0,0,0,,62.02017,,,62.02017,,,62.02017,,,62.02017,
SCHWEITZER (ALBERT) ELEMENTARY SCHOOL,SAN JUAN UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTS. TO TWO CLSRM. BLDGS AND MULTIPURPOSE BLDG.,3,634620,SCHWEITZER (ALBERT) ELEMENTARY,63462005818,1810456,2498025,188231.5,0,2686257,1998,438,47799,6133.006,56.19902,,15,33,,0,2851,4292,0,0,1,0,1,0,0,0,0,0,,6133.006,6133.006,,,,,6133.006,6133.006,,,
CENTRAL REGION ELEMENTARY SCHOOL #17,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CLASSROOM/ADMINISTRATION/KG/LIBRARY/PARKING BUILDING AND MUTI-PURPOSE/KITCHEN BUILDING AND SITE WORK.,15,622710,CENTRAL REGION ELEMENTARY,62271002908,0,4.11E+07,2379784,4.34E+07,4.34E+07,2006,555,703722,78252.52,61.71493,24,68,538,656,64272,82884,532152,558949,0,1,0,1,0,1,1,0,0,,78252.52,78252.52,,78252.52,78252.52,,78252.52,78252.52,,78252.52,78252.52
CASTELAR ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS FIRE ALARM,0,622710,CASTELAR ELEMENTARY,62271002903,1920947,195704.7,,0,195704.7,2006,784,703722,249.6233,0.2780994,4,9,187,735,64272,82884,532152,558949,0,0,0,0,0,1,0,0,0,,,,,249.6233,,,,,,249.6233,
PARTHENIA STREET ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-ENTIRE CAMPUS (MODERNIZATION-ACS, ASPHALTIC CONCRETE)",14,622710,PARTHENIA STREET ELEMENTARY,62271009572,0,335647.2,193672.2,529319.4,529319.4,2005,796,727319,664.9741,0.7277678,23,41,753,817,66438,86362,539906,556015,0,1,0,0,0,1,0,0,1,,664.9741,,,664.9741,,,664.9741,,,664.9741,
MUIRLANDS MIDDLE SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-BASEBALL FIELD SCOREBOARD,10,634320,MUIRLANDS MIDDLE,63432005527,32440.11,32440.11,,0,32440.11,2010,1058,131433,30.66173,0.2468186,561,24,334,337,30767,15287,60272,84813,0,1,0,0,1,0,0,0,0,,30.66173,,30.66173,,,,30.66173,,30.66173,,
PRESCOTT ELEMENTARY SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-RECONSTRUCTION/REHABILITATION OF CAFETERIA (FIRE DAMAGE REPAIR).,4,628050,PRESCOTT ELEMENTARY,63795006396,100434,165916,,0,165916,1999,672,3115,246.8989,53.26358,,47,130,,0,287,788,0,0,0,0,1,0,1,0,0,0,,,246.8989,,246.8989,,,,246.8989,,246.8989,
VALLEY REGION BLYTHE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-2-STORY C.R. BUILDING.,15,622710,VALLEY REGION BLYTHE ELEMENTARY,62271002858,0,6168404,485438.2,6653843,6653843,2008,428,684143,15546.36,9.725806,37,34,332,385,59978,74519,504866,469364,0,1,0,0,0,0,0,0,0,,15546.36,,,,,,15546.36,,,,
COHASSET STREET ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-LUNCH SHELTER,4,622710,COHASSET STREET ELEMENTARY,62271002927,137239.5,197075.9,30245.65,0,227321.6,2000,834,721346,272.5678,0.3151353,70,27,651,767,72404,93532,496505,520214,0,0,0,0,0,1,0,0,0,,,,,272.5678,,,,,,272.5678,
VARIOUS SITES,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CONSTRUCTION OF (5) SHADE STRUCTURES,5,622710,VARIOUS SITES,999999,1574298,1823010,243281.9,0,2066292,2001,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
EAGLE ROCK HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO ENTIRE SCHOOL (HVAC),8,622710,EAGLE ROCK HIGH,62271002970,1624373,2095732,236062.7,0,2331794,1998,2797,695885,833.6769,3.350833,,57,1668,,0,93867,466259,0,0,0,0,0,0,1,0,0,0,,,,,833.6769,,,,,,833.6769,
VENICE SENIOR HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-SHOP BUILDING,14,622710,VENICE SENIOR HIGH,62271003429,0,774373.8,236958,1011332,1011332,2009,2605,667315,388.2272,1.515524,356,265,1880,1488,59448,72377,501867,513043,0,0,1,0,0,0,0,0,0,388.2272,,,,,,388.2272,,,,,
BANDINI STREET ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-ALTERATION TO ENTIRE CAMPUS FIRE ALARM., ALTERATIONS TO 1-ENTIRE CAMPUS FIRE ALARM.",14,622710,BANDINI STREET ELEMENTARY,62271002837,0,551024.7,107025.9,658050.6,658050.6,2008,379,684143,1736.281,0.9618611,19,26,349,347,59978,74519,504866,469364,0,0,0,0,0,1,0,0,0,,,,,1736.281,,,,,,1736.281,
ROWAN ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 4-24X40 CLASSROOM BUILDINGS RELOCATABLE (BASED ON PC 04-109299) & RAMPS/LANDINGS (BASED ON PC-04-109223),11,634320,ROWAN ELEMENTARY,63432005543,702840,744075.1,30722.73,0,774797.8,2010,268,131433,2891.037,5.895002,19,81,157,259,30767,15287,60272,84813,0,1,0,0,0,1,0,0,0,,2891.037,,,2891.037,,,2891.037,,,2891.037,
MADISON HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 2-BLEACHERS (OUTDOOR), 1-SPORT FIELD, 1-TOILET/SNACK BAR BUILDING 1, 2-TICKET BOOTH BUILDING 2 & 3, 1-PRESS BOX BUILDING 4, ALTERATIONS TO 1-STORAGE BUILDING 5 (A#20978)",13,634320,MADISON HIGH,63432005509,0,8266793,-336959.9,7929834,7929834,2009,1246,131063,6364.232,60.50398,332,155,588,865,33253,17408,58669,83572,0,0,0,0,1,1,0,0,0,,,,6364.232,6364.232,,,,,6364.232,6364.232,
ADAMS MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-OFFICE BLDG.,11,622710,ADAMS MIDDLE,62271002800,329198.8,162721.4,4831.212,0,167552.6,2008,1603,684143,104.5244,0.2449088,1,32,1641,1608,59978,74519,504866,469364,0,0,0,0,0,0,1,0,0,,,,,,104.5244,,,,,,104.5244
CORREIA JUNIOR HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-9-C.R. BLDG/S A15595, 14368, 65547, 30545, 04-101282",7,634320,CORREIA JUNIOR HIGH,63432005437,4641165,4402637,457311.1,0,4859948,2002,1033,140753,4704.693,34.5282,460,80,393,521,37601,22065,56205,86939,0,1,0,0,0,0,0,0,0,,4704.693,,,,,,4704.693,,,,
SHERMAN OAKS CENTER FOR ENRICHED STUDIES,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),13,622710,SHERMAN OAKS CENTER FOR ENRICHED STUDIES,62271009151,0,3346019,2006737,5352756,5352756,2005,1781,727319,3005.478,7.359571,724,157,614,663,66438,86362,539906,556015,0,0,1,0,0,1,0,0,0,3005.478,,,,3005.478,,3005.478,,,,3005.478,
HAMILTON HIGH,LOS ANGELES UNIFIED SCHOOL DISTRICT,"RELOCATION OF 1-2 C.R.BLDGS.,SHOP BLDG.,MUSIC BLDG.,ART/PHOTOGRAPHY BLDG.,2 PHYS.EDUC.BLDGS.,CAFETRIA BLDG.( INSTALLATION OF AIR CONDITIONING SYSTEM.)",14,622710,HAMILTON HIGH,62271003064,4134807,7446528,255542.6,7702070,7702070,2000,2975,721346,2588.931,10.67736,581,1139,1000,427,72404,93532,496505,520214,0,1,1,0,0,0,0,0,0,2588.931,2588.931,,,,,2588.931,2588.931,,,,
HORACE MANN MIDDLE SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-MECH UPGRADES TO: (1) ADMIN BLDG (100); (2) C.R. BLDGS (200, 400); (1) MULTI BLDG (300); (1) AUDITORIUM (A)",7,634320,HORACE MANN MIDDLE,63432005510,1346293,1674893,35553.78,0,1710447,2002,1378,140753,1241.253,12.15212,94,364,633,1318,37601,22065,56205,86939,0,1,0,0,1,0,1,0,0,,1241.253,,1241.253,,1241.253,,1241.253,,1241.253,,1241.253
CHAPMAN ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO MAIN BLDG. & CLASSROOM BLDG.(RELOCATIONS),3,622710,CHAPMAN ELEMENTARY,62271002911,50512.22,0,1149.398,0,1149.398,1998,499,695885,2.303404,0.0016517,,106,244,,0,93867,466259,0,0,1,0,0,0,0,0,0,0,,2.303404,,,,,,2.303404,,,,
EL ORO WAY ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),12,622710,EL ORO WAY ELEMENTARY,62271013726,0,935566.7,42550.42,978117.1,978117.1,2004,0,741367,,1.319343,0,0,0,0,68132,88271,541514,558973,0,0,1,0,0,1,0,0,0,,,,,,,,,,,,
CLAIREMONT HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-NEW LIBRARY (900), AND LUNCH SHELTER, ALTERATIONS TO 1-MODERNIZATION OF 4 C.R. BLDGS (200, 300, 400, 500); 1-GYM BLDG (600); 1- KITCHEN BLDG (700); AND ADMIN BLDG. (800).",8,634320,CLAIREMONT HIGH,63432005434,9967484,6428236,215450.2,0,6643686,2002,1397,140753,4755.681,47.20103,625,60,590,622,37601,22065,56205,86939,0,1,0,1,1,1,1,1,1,,4755.681,4755.681,4755.681,4755.681,4755.681,,4755.681,4755.681,4755.681,4755.681,4755.681
GLASSELL PARK ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO EXISTING  BUILDINGS - INSTALLATION OF NEW  F/A SYSTEM,1,622710,GLASSELL PARK ELEMENTARY,62271003042,101523.3,125410.3,12547.08,0,137957.4,1998,887,695885,155.5326,0.1982474,,5,807,,0,93867,466259,0,0,1,0,0,0,0,0,1,0,,155.5326,,,,,,155.5326,,,,
CROCKER HIGHLANDS ELEMENTARY SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-(1) C.R./ADMIN. BUILDING,12,628050,CROCKER HIGHLANDS ELEMENTARY,62805004253,2131387,2794624,1386791,0,4181415,2004,373,49214,11210.23,84.96394,161,156,22,59,2916,21344,16989,32530,0,1,0,0,0,0,1,0,0,,11210.23,,,,11210.23,,11210.23,,,,11210.23
BULLARD HIGH (FRESNO USD),FRESNO UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-GYMNASIUM (HVAC UPGRADE),10,614550,BULLARD HIGH,61455001711,107819.8,108938.3,1940.725,0,110879.1,2002,2577,81222,43.02641,1.365136,1493,225,558,385,15518,9576,40912,59738,0,0,0,0,1,1,0,0,0,,,,43.02641,43.02641,,,,,43.02641,43.02641,
